time,open,high,low,close,All Confimed,MAMA,FAMA,KAMA,Buy Signal,Sell Signal,ICHI BUY,ICHI SELL,5in1 → BULL,5in1 → BEAR,FINAL LONG,FINAL SHORT,GRACE LONG,GRACE SHORT,ADX
1758405600,115784.5,115804.6,115740.8,115769.5,,115808.66893958858,115820.6914134792,115813.39309435654,0,0,0,0,0,0,0,0,0,0,6.879431359440846
1758409200,115769.5,115769.5,115614.2,115680.9,,115806.9959729468,115820.60175156595,115813.37325602383,0,0,0,0,0,0,0,0,0,0,6.39711423700122
1758412800,115680.9,115721.9,115554.4,115649.5,,115806.24152369602,115820.56735683524,115813.3696736398,0,0,0,0,0,0,0,0,0,0,6.265827629310081
1758416400,115649.5,115649.5,115500,115500.1,,115802.28466682906,115820.44920561774,115813.32388619456,0,0,0,0,0,0,0,0,0,0,7.10399982390953
1758420000,115500.1,115716.4,115448.1,115693.2,,115802.24644927209,115820.44601697127,115813.32387150175,0,0,0,0,0,0,0,0,0,0,7.722422062712604
1758423600,115693.2,115720,115616.7,115675.7,,115778.73456834957,115816.57109745065,115809.4147369049,0,0,0,0,0,0,0,0,0,0,8.312909863757815
1758427200,115675.7,115675.8,115498.5,115502.5,,115766.97594688769,115815.5155260837,115808.93405940781,0,0,0,0,0,0,0,0,0,0,9.33424991793217
1758430800,115502.5,115677.1,115498.5,115677,,115766.97049512163,115815.5140553787,115808.93405892373,0,0,0,0,0,0,0,0,0,0,9.872464147984896
1758434400,115677,115796.3,115677,115690.1,,115766.7013326199,115815.4285963573,115808.9326525228,0,0,0,0,0,0,0,0,0,0,9.834980101767561
1758438000,115690.1,115812.9,115620.6,115812.4,,115766.92389861183,115815.31048026348,115808.9327308107,0,0,0,0,0,0,0,0,0,0,10.570719431758354
1758441600,115812.4,115821,115557.9,115640.7,,115749.362944248,115810.7229905602,115806.11371343068,0,0,0,0,0,0,0,0,0,0,11.112477985380737
1758445200,115640.7,115712.6,115330,115679.1,,115748.38080015684,115810.28727715116,115806.09224420438,0,0,0,0,0,0,0,0,0,0,12.765911485714119
1758448800,115679.1,115711.5,115503.6,115521.2,,115693.23362021404,115796.08013667623,115793.13259654824,0,0,0,0,0,0,0,0,0,0,14.404283107363787
1758452400,115521.2,115697.2,115510,115608.6,,115691.5228652181,115795.02339424894,115793.07166863633,0,0,0,0,0,0,0,0,0,0,16.48625431890972
1758456000,115608.6,115749.4,115608.6,115674.6,,115691.210707728,115794.0659349994,115793.03845118082,0,0,0,0,0,0,0,0,0,0,18.063694749932864
1758459600,115674.6,115746.1,115637.5,115662.2,,115690.94116204185,115793.5868560685,115793.02818131489,0,0,0,0,0,0,0,0,0,0,19.34725199372793
1758463200,115662.2,115693.5,115495.4,115504.8,,115669.01897785407,115786.2515629497,115789.48736177126,0,0,0,0,0,0,0,0,0,0,21.04203750355931
1758466800,115504.8,115611.5,115477,115522.4,,115667.64853790172,115785.69727479966,115789.46615763834,0,0,0,0,0,0,0,0,0,0,22.51663783870572
1758470400,115522.4,115559.3,115210,115320.3,-1,115660.51796558093,115784.41239805477,115789.30694589014,0,0,0,0,0,0,0,0,0,0,25.552564410454952
1758474000,115320.3,115639.9,115253,115619.6,,115660.20962702934,115783.94443120969,115789.29802170947,0,0,0,0,0,0,0,0,0,0,27.84434277555646
1758477600,115619.6,115661.6,115514,115529.7,,115646.3813270286,115776.65660150339,115786.68421224486,0,0,0,0,0,0,0,0,0,0,29.208878900722457
1758481200,115529.7,115529.7,115321.6,115486.3,,115632.3363197068,115770.32550888896,115784.57035779543,0,0,0,0,0,0,0,0,0,0,31.291915901251595
1758484800,115486.3,115507.4,115307.8,115307.8,,115627.64755134842,115769.29483242515,115784.48469871939,0,0,0,0,0,0,0,0,0,0,34.4055431808889
1758488400,115307.8,115423.1,115221,115403.9,,115626.7164796969,115768.99817965388,115784.47837986755,0,0,0,0,0,0,0,0,0,0,37.42371158820567
1758492000,115403.9,115550,115184.8,115527.8,,115625.98693427008,115768.47079938128,115784.46542836017,0,0,0,0,0,0,0,0,0,0,38.86208112918989
1758495600,115527.8,115527.8,115197.4,115235,,115557.55373917383,115750.01272947513,115770.45012492161,0,0,0,0,0,0,0,0,0,0,39.128365991404856
1758499200,115235,115382.7,114278.3,114390,-1,115150.33565131889,115645.435379027,115655.98542866023,0,1,0,0,0,0,0,0,0,0,41.55147220054266
1758502800,114390,114744.3,114244.3,114267.8,-1,115110.69552765477,115633.42614528962,115654.3014910539,0,0,0,0,0,0,0,0,0,0,44.018770055402356
