asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,displacement,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error,fixed_displacement
AXS,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.25,2.75,7.0,7.5,10,29,14,24,26,3.0104189308264995,10.78890418786209,246,1.0801832274359793,1.6733354896347308,132,0.7900975195462038,0.9517595885680796,84,-1.5103930556282563,1.2026858645473926,0.2624543419706989,0.49,,26
AXS,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.0,5.0,3.0,4.5,13,20,15,18,39,2.8362238112781903,18.261971541220202,357,2.177553410162877,5.167351621529348,141,3.1782922008666983,7.095841183175633,123,-2.0768160936381674,1.7618481215396167,1.1206069803900098,0.05,,39
AXS,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.5,2.0,4.5,5.0,7,21,10,20,52,4.133548499839645,14.646153236347637,324,2.26269330248243,3.2219864558301836,138,0.7847829730248349,1.0416109385033012,121,-1.3791046623564784,1.1650999189906586,0.1898569650399117,0.49,,52
AXS,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,2.5,1.75,11.0,9.0,11,20,12,17,65,3.068312044592975,14.48458690632528,270,3.3432420964090532,5.298144742259181,90,1.640296804022159,2.885505410679934,114,-1.744694567445415,1.414370240211891,0.5345925643099809,0.296,,65
AXS,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.5,1.75,9.0,4.0,9,20,8,19,78,2.671876199341543,10.686058508937556,267,1.9840669584122093,2.80942584006616,90,2.2220021611365133,3.5099285251317003,120,-1.3094839640558575,1.5433164137428153,0.8316261665432341,0.19,,78
CAKE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.25,5.0,3.0,6.5,7,23,11,30,26,4.097774195328399,25.066415421818267,339,0.8508117318824264,1.7848292749881534,126,4.446247372044025,10.210387184903835,138,-1.595957897507927,2.1483915457619536,1.085039623977548,0.0,,26
CAKE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.0,4.75,3.0,9.0,12,36,9,23,39,3.6309187198791553,21.724916486650137,321,0.2562880531157576,0.5039401433754476,129,4.195890058061755,9.481134456887496,132,-1.4563420537062943,2.0660875731704955,1.1556001061355081,0.0,,39
CAKE,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,WFE<0.6; OVERFIT,2.25,3.0,12.0,8.5,6,22,16,26,52,3.241220322736107,20.88940459969657,273,-0.5226594532151458,-1.0024837099819384,90,1.560845040480557,2.896629771762682,90,-2.490163990995675,1.4059014979500388,0.4815609199818156,0.134,,52
CAKE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,2.75,3.75,10.5,5.0,7,31,9,17,65,3.5112188961752233,18.590214210540147,207,0.500928820200144,0.7541898959938509,66,3.7920351704533464,6.338863471291378,72,-0.7015123969044357,2.3153466708426547,1.0799768634715474,0.008,,65
CAKE,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,3.0,4.75,10.5,7.5,10,24,8,28,78,4.251379359701422,23.810039127597648,198,-1.5020082199589275,-2.452033045807389,72,3.645114661906502,6.1168463231223935,69,-1.4792467495849393,2.2715481243366726,0.8573957658209316,0.014,,78
