asset,status,exchange,timeframe,start_date,end_date,total_bars,seed,fail_reason,sl_mult,tp1_mult,tp2_mult,tp3_mult,tenkan,kijun,tenkan_5,kijun_5,is_sharpe,is_return,is_trades,val_sharpe,val_return,val_trades,oos_sharpe,oos_return,oos_trades,oos_max_dd,oos_pf,wfe,mc_p,error
ANKR,SUCCESS,binance,1H,2024-01-22,2026-01-21,17520,42,,5.0,2.25,8.0,8.5,6,26,16,26,3.474950176028204,10.089257110861505,237,0.19654740449155628,0.2280113655847238,93,3.6460271859221565,3.164775686835908,66,-0.5227967429780156,2.918998945678722,1.0492315000871437,0.0,
GLM,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,1.5,5.5,9.0,10,26,12,17,2.1446239750786558,7.298301778582261,282,-0.24569309993571664,-0.38091961513291306,132,-3.360543671313711,-5.5405738511654645,135,-6.438792338876665,0.4973829960101855,-1.566961719333787,0.99,
AIOZ,FAIL,binance,1H,,,0,42,ERROR: No data found for AIOZ in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for AIOZ in data
SUPER,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.0,4.0,5.0,8.0,7,23,8,28,2.3240679821464973,12.364691189847576,300,0.3947348839225898,0.6293420459265064,90,0.1336712604480143,0.2038103290613158,90,-3.0058645085512925,1.0232986017857817,0.057516071592947214,0.206,
GROK,FAIL,binance,1H,,,0,42,ERROR: No data found for GROK in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for GROK in data
TURBO,FAIL,binance,1H,2024-09-16,2026-01-21,11812,42,OOS_SHARPE<1.0; WFE<0.6; TRADES<50; OVERFIT,1.75,2.5,7.5,10.0,6,28,14,21,3.2780718491460257,15.740215127785406,261,2.550436239176716,3.640317316853947,58,-1.7217556521859094,-1.7496022117245102,42,-3.4366416008407508,0.6275714381767905,-0.5252342631338133,0.696,
FLOKI,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,2.75,3.25,4.0,9.0,17,23,16,30,3.1519554248883166,15.003641733372142,258,-0.4470259401381308,-0.8935456239753115,123,-1.5478800562024917,-2.8728889016620074,102,-4.709575301620406,0.7370175368695114,-0.4910856428933597,0.55,
MEME,FAIL,binance,1H,2024-01-22,2026-01-21,17520,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.75,3.5,6.0,7.0,17,29,10,29,-0.4639230453241262,-1.687442982189391,207,0.4262515352790075,0.4662944705660532,69,0.46583492429719875,0.5091911393723336,66,-1.328681607277471,1.1238709631019483,0.0,0.122,
MYRO,FAIL,binance,1H,,,0,42,ERROR: No data found for MYRO in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for MYRO in data
BOME,FAIL,binance,1H,2024-03-16,2026-01-21,16226,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,3.25,4.75,7.5,10.0,12,39,8,30,2.528679474906217,11.804986313345234,228,2.2688741614586854,3.2545446869314487,66,-0.05144928474442064,-0.12293493665989086,81,-2.7746334774912285,0.9851580540083676,-0.020346305356209207,0.106,
COQ,FAIL,binance,1H,,,0,42,ERROR: No data found for COQ in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for COQ in data
SLERF,FAIL,binance,1H,,,0,42,ERROR: No data found for SLERF in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for SLERF in data
BRETT,FAIL,binance,1H,,,0,42,ERROR: No data found for BRETT in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for BRETT in data
ZRO,FAIL,binance,1H,2024-06-20,2026-01-21,13921,42,OOS_SHARPE<1.0; WFE<0.6; OVERFIT,4.0,4.0,7.5,9.0,10,39,14,24,2.4892452448388878,8.601279369691884,213,-2.4615540242669125,-2.663014167851707,52,-0.9061958007093714,-1.089729655338545,66,-3.074925476312551,0.8234555192545266,-0.36404440365538326,0.686,
W,SUCCESS,binance,1H,2024-04-03,2026-01-21,15794,42,,5.0,2.25,6.0,8.5,8,23,8,30,1.9251225868396562,4.847764658454334,192,-1.6250542740085054,-1.6491099263113207,78,1.8954094778262762,1.8092673708626883,87,-2.16292135026136,1.5005080450509174,0.9845656015796075,0.018,
STRK,SUCCESS,binance,1H,2024-02-20,2026-01-21,16825,42,,2.0,3.0,5.5,7.5,19,20,10,29,1.7037903398655079,9.595318981838275,297,-0.05402987908903575,-0.16532848661700017,129,1.0422903723544352,2.0424470542162565,109,-2.4936200321040825,1.195112640952221,0.6117480231967453,0.254,
MODE,FAIL,binance,1H,,,0,42,ERROR: No data found for MODE in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for MODE in data
METIS,SUCCESS,binance,1H,2024-03-11,2026-01-21,16346,42,,1.5,4.75,7.5,10.0,16,20,8,17,3.3364680677257317,32.039399703307495,339,0.42883489487743043,0.9592817927562169,90,2.8469607081074817,7.925717819390665,90,-2.603195905547273,1.7866485747108605,0.8532857651618655,0.0,
BLAST,FAIL,binance,1H,,,0,42,ERROR: No data found for BLAST in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for BLAST in data
ZETA,FAIL,binance,1H,,,0,42,ERROR: No data found for ZETA in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for ZETA in data
SCROLL,FAIL,binance,1H,,,0,42,ERROR: No data found for SCROLL in data,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,No data found for SCROLL in data
