trial,score,trades,total_return_pct,sharpe,max_drawdown_pct,profit_factor,valid,ichimoku.tenkan,ichimoku.kijun,five_in_one.tenkan_5,five_in_one.kijun_5
32,1.9622884062303627,297,7.20005087550033,1.9622884062303627,-1.8024378125111595,1.9434435822813854,True,11,24,12,26
33,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,27,12,27
34,1.4103281454319399,288,5.2535099244525485,1.4103281454319399,-1.8898199861173914,1.6081681355351993,True,12,23,14,29
35,2.186654975836132,300,7.851040886156113,2.186654975836132,-1.1584030551341273,2.10073365883522,True,11,25,13,26
36,1.979383680511013,300,7.265494499307734,1.979383680511013,-1.7358808616552701,1.9508387263828426,True,10,23,13,28
37,1.3420995046198514,291,5.134442219257118,1.3420995046198514,-1.8884954656500863,1.5613750379915543,True,12,31,15,30
38,2.025545842229156,288,7.175242539658111,2.025545842229156,-1.44818466661919,2.0090483092552502,True,9,25,10,21
39,1.736912136624384,282,6.273456532278576,1.736912136624384,-1.8884954656500863,1.8241680497835282,True,14,29,9,24
40,2.0419502391152453,297,7.213326035457213,2.0419502391152453,-1.0093578166495032,2.010972494994535,True,8,23,11,20
41,2.1861856904465804,300,7.849360452058907,2.1861856904465804,-1.1586151343112583,2.100346862306299,True,11,26,12,26
42,2.1299206692968595,291,7.639825379471943,2.1299206692968595,-1.4469218561156016,2.0738547091692308,True,12,28,13,26
43,1.39085116626663,300,5.350143341616542,1.39085116626663,-2.244296329638551,1.583770716100152,True,11,21,14,27
44,2.2235263549946107,285,7.687502228562915,2.2235263549946107,-1.009147030940316,2.1652812494370295,True,13,25,12,25
45,1.9891667962113537,282,7.03819265200436,1.9891667962113537,-1.4469218561156016,1.991957013204863,True,13,24,11,23
46,1.736912136624384,282,6.273456532278576,1.736912136624384,-1.8884954656500863,1.8241680497835282,True,14,25,13,25
47,1.6729248348132757,288,6.221668844351336,1.6729248348132757,-1.8884954656500863,1.765414528881885,True,15,40,12,29
48,1.4103281454319399,288,5.2535099244525485,1.4103281454319399,-1.8898199861173914,1.6081681355351993,True,13,27,14,24
49,1.9886909960810655,282,7.036512217907154,1.9886909960810655,-1.447136435626084,1.9915832071447876,True,12,21,11,25
50,1.9891667962113537,282,7.03819265200436,1.9891667962113537,-1.4469218561156016,1.991957013204863,True,13,28,13,16
